Name,Process,CaptureTime,EdgesTime,DeisolationTime,ErrorMass,ErrorDensity,ErrorTime,WhiteMass,WhiteDensity,WhiteTime,TotalTime,Author
IMG_2658,CED,0.6391851,6.6787163,36.2492767,4817411.345258552,8.428885223780394,2.0529713,567089.0,0.9922192127879959,12.3933989,58.0135483,Julian
IMG_2658,B2D,0.1989232,0.2079032,35.5929765,22198244.944421824,38.83962680289925,1.9619989,568426.0,0.9945585229976764,12.2828295,50.2446313,Julian
IMG_2658,F2D,0.1810279,0.5170899,36.4761457,19936753.99908594,34.88276153923102,2.0610011,568648.0,0.994946949973405,12.2388934,51.474158,Julian
IMG_2658,I2D,0.2131879,21.3836955,36.3879777,2721968.38147972,4.762549308319546,1.0470263,566556.0,0.991286638112035,12.3114188,71.3433062,Julian
IMG_2659,CED,0.5582187,6.7903251,36.5705077,4243827.904905202,7.425302876643294,2.2719992,559363.0,0.9787012541642172,12.7093603,58.900411,Julian
IMG_2659,B2D,0.164969,0.226,38.0559795,19960972.30399529,34.92513560649773,2.3189689,562862.0,0.9848233532095966,13.0650001,53.8309175,Julian
IMG_2659,F2D,0.2110016,0.2340089,38.8320354,16070513.253890624,28.11811198925461,2.0899676,563511.0,0.985958889728731,12.2649878,53.6320013,Julian
IMG_2659,I2D,0.1780004,21.5594232,37.6026093,6115822.04311506,10.700676848203893,1.3210249,558514.0,0.9772157834327146,12.4075887,73.0686465,Julian
IMG_2660,CED,0.4944537,6.8322127,36.0465063,3883845.774131373,6.795452559648689,2.0950374,569989.0,0.9972932588673329,12.4949588,57.9631689,Julian
IMG_2660,B2D,0.1710128,0.2019848,36.1185575,18360067.33858141,32.1240785157565,2.229847,570423.0,0.9980526161081716,13.1236936,51.8450957,Julian
IMG_2660,F2D,0.1904806,0.1707195,36.4698246,17023087.405096963,29.7848034158775,2.0371852,570336.0,0.9979003947257915,14.1679979,53.0362078,Julian
IMG_2660,I2D,0.1909667,24.6520012,37.1234989,2376548.153646,4.1581775315045775,1.1320002,570362.0,0.9979458861733994,12.4747217,75.5731887,Julian
IMG_2661,CED,0.2594266,6.9575685,35.8315406,3441572.012835784,6.021618958098499,2.2649987,570736.0,0.9986002631505277,12.3308821,57.6444165,Julian
IMG_2661,B2D,0.2394972,0.1988097,35.8152066,15322587.653042058,26.8094882090403,2.0200278,570300.0,0.9978374065675653,12.2852273,50.5587686,Julian
IMG_2661,F2D,0.1769999,0.1908474,35.7367581,16536925.461557701,28.93417993189878,2.0454819,570053.0,0.9974052378152908,12.3280005,50.4780878,Julian
IMG_2661,I2D,0.1670924,21.4962333,36.465858,5412521.176820596,9.470131674681202,1.4219984,570042.0,0.9973859914336105,12.3090289,71.860211,Julian
IMG_2662,CED,0.2226288,6.8219315,37.1283233,3441572.012835784,6.021618958098499,2.0800004,570736.0,0.9986002631505277,12.2489127,58.5017967,Julian
IMG_2662,B2D,0.1690812,0.1989449,35.5662079,15322587.653042058,26.8094882090403,2.0180059,570300.0,0.9978374065675653,12.8120211,50.764261,Julian
IMG_2662,F2D,0.1671712,0.1926506,35.8931554,16536925.461557701,28.93417993189878,2.0186456,570053.0,0.9974052378152908,12.3544582,50.626081,Julian
IMG_2662,I2D,0.1740006,22.2903429,36.2114245,5412521.176820596,9.470131674681202,1.3750271,570042.0,0.9973859914336105,12.3840755,72.4348706,Julian
IMG_2663,CED,0.3119571,6.7895614,35.7396312,4139380.951218461,7.242555064280222,2.0830064,565173.0,0.9888668430335097,13.2689726,58.1931287,Julian
IMG_2663,B2D,0.1949999,0.2219975,40.0788016,15617750.752691286,27.325926543019662,2.1309856,565386.0,0.9892395229696817,12.8319112,55.4586958,Julian
IMG_2663,F2D,0.1720029,0.2069957,37.2604692,12844977.27533488,22.474485028650655,2.1760259,565660.0,0.989718932840626,12.921973,52.7374667,Julian
IMG_2663,I2D,0.1880001,24.1357199,37.5191751,8427023.974168075,14.744519985036945,1.9098896,564444.0,0.987591332829428,12.7753034,76.5280881,Julian
IMG_2664,CED,0.3193376,7.028964,37.3111216,4681313.826382153,8.190759333414086,2.1779972,564850.0,0.9883016992805352,12.7119676,59.549388,Julian
IMG_2664,B2D,0.170036,0.2379841,36.8559229,22323711.961386323,39.059152811697466,2.0400041,566309.0,0.9908544693597604,12.8930266,52.1969737,Julian
IMG_2664,F2D,0.1709979,0.2071121,37.0194014,18623385.732706238,32.584799090006996,2.122996,566778.0,0.9916750650877635,12.7130028,52.2335102,Julian
IMG_2664,I2D,0.1830019,22.8727725,37.7426307,3462697.2410316598,6.0585811585475975,1.1330009,563044.0,0.9851417933428516,13.0999983,75.0314043,Julian
IMG_2665,CED,0.4899055,6.9961923,37.3430325,4681313.826382153,8.190759333414086,2.1440257,564850.0,0.9883016992805352,12.7839777,59.7571337,Julian
IMG_2665,B2D,0.1759983,0.2394037,36.8219604,22323711.961386323,39.059152811697466,2.1243843,566309.0,0.9908544693597604,12.8810003,52.242747,Julian
IMG_2665,F2D,0.2132824,0.2052559,36.7139387,18623385.732706238,32.584799090006996,2.1400005,566778.0,0.9916750650877635,12.8170047,52.0894822,Julian
IMG_2665,I2D,0.1720225,23.0949784,37.576436,3462697.2410316598,6.0585811585475975,1.1479985,563044.0,0.9851417933428516,12.8879983,74.8794337,Julian
IMG_2666,CED,0.3000863,6.8491356,37.2872966,4715696.58417431,8.250917849749289,2.1429998,569704.0,0.9967946026147084,12.9100009,59.4895192,Julian
IMG_2666,B2D,0.2656052,0.2413911,37.0251547,20492377.706147056,35.85492026074833,2.0780027,570895.0,0.9988784608493603,12.9470275,52.5571812,Julian
IMG_2666,F2D,0.3779044,0.2079259,36.6801372,18908904.065228734,33.084362254046525,1.9990281,570674.0,0.9984917835446936,13.0107882,52.2757838,Julian
